Year,Residential 7+ units,Agricultural,Commercial,Commercial Condominium,Residential Condominium Unit,Commercial Land,Condominium Main,Condo Parking,Tax-exempt,Tax-exempt (121A),Industrial,Residential 1-family,Residential 2-family,Residential 3-family,Residential 4+ family,Mixed Use,Residential Land
1950,15,0,191,0,350,0,13,0,54,1,28,2154,347,17,39,28,0
1951,0,0,3,0,2,0,1,0,8,0,0,67,3,0,0,0,0
1952,2,0,6,0,218,0,0,0,10,0,1,122,9,0,0,0,0
1953,1,0,9,0,6,0,3,0,11,0,2,139,8,0,0,0,0
1954,0,0,6,0,2,0,1,0,3,0,1,268,11,3,0,0,0
1955,7,0,63,0,275,0,6,0,5,1,3,743,41,6,4,3,0
1956,0,0,4,0,8,0,1,0,3,0,1,214,8,4,0,1,0
1957,0,0,4,0,6,0,2,0,7,0,0,221,18,0,0,0,0
1958,0,0,11,0,0,0,0,0,3,1,1,183,7,1,0,0,0
1959,0,0,6,0,9,0,1,0,3,0,1,170,6,0,0,1,0
1960,53,0,176,0,770,0,17,0,38,1,13,1083,99,13,19,11,0
1961,5,0,6,0,7,0,1,0,2,0,2,144,8,0,0,1,0
1962,2,0,7,0,110,0,1,0,4,0,0,170,9,0,1,0,0
1963,3,0,8,0,570,0,1,0,4,0,1,175,9,3,0,1,0
1964,10,0,14,0,864,0,2,0,8,0,3,171,17,2,0,3,0
1965,69,0,64,7,822,0,10,7,19,0,6,282,51,2,10,9,0
1966,6,0,10,0,43,0,2,0,2,0,2,90,14,0,0,2,0
1967,4,0,7,0,560,0,0,0,9,0,2,89,5,0,0,1,0
1968,4,0,16,0,615,0,1,0,6,0,1,74,7,1,3,4,0
1969,3,0,11,0,74,0,4,0,2,2,3,62,3,1,1,2,0
1970,36,0,78,0,399,0,10,0,30,0,7,149,18,0,9,8,0
1971,0,0,10,0,24,0,0,0,5,0,0,24,1,1,0,2,0
1972,4,0,15,0,547,0,1,0,6,0,2,21,4,0,0,0,0
1973,2,0,15,0,50,0,1,0,3,0,3,13,7,1,1,2,0
1974,1,0,6,0,126,0,0,0,2,0,0,11,4,3,0,2,0
1975,2,0,32,0,118,0,0,0,10,7,3,22,1,2,0,8,0
1976,2,0,13,0,42,0,1,0,3,3,0,8,0,0,3,1,0
1977,0,0,8,0,0,0,0,0,5,3,0,4,0,0,0,1,0
1978,1,0,12,0,1,0,1,0,9,3,2,11,4,0,1,0,0
1979,2,0,10,0,43,0,0,0,3,2,2,6,0,1,1,1,0
1980,2,0,22,0,20,0,2,0,10,15,3,22,14,1,2,2,0
1981,0,0,13,0,13,0,4,0,3,3,1,10,3,1,1,1,0
1982,0,0,16,0,148,0,0,0,7,6,1,11,5,1,0,0,0
1983,2,0,21,0,73,0,2,0,6,0,3,22,4,4,0,0,0
1984,4,0,26,0,96,0,3,0,6,2,3,91,9,2,2,0,0
1985,2,0,22,0,465,0,2,0,7,1,5,72,26,2,0,2,0
1986,5,0,19,0,733,0,4,0,17,0,0,79,12,2,1,4,0
1987,3,0,24,0,830,0,8,0,15,0,2,91,11,7,0,6,0
1988,6,0,22,0,1034,0,6,0,34,0,2,95,18,4,2,3,0
1989,9,0,31,0,1337,0,7,0,24,1,2,150,31,13,2,3,0
1990,14,0,17,0,171,0,5,0,20,2,1,75,16,12,9,7,0
1991,22,0,6,0,50,0,5,0,9,0,0,152,13,6,1,2,0
1992,2,0,3,0,85,0,1,0,13,1,1,45,8,3,0,2,0
1993,5,0,9,0,37,0,1,0,4,0,0,50,9,8,0,1,0
1994,5,0,4,0,21,0,2,0,8,20,0,64,2,4,0,0,0
1995,8,0,9,0,30,0,3,0,9,13,0,64,2,1,0,3,0
1996,4,0,8,0,17,0,3,0,7,1,4,66,6,1,0,0,0
1997,5,0,6,0,36,0,0,0,6,0,4,61,4,1,1,0,0
1998,5,0,17,0,70,0,13,0,7,21,1,95,9,0,1,0,0
1999,2,0,14,0,344,0,3378,0,7,3,2,79,12,3,2,13,0
2000,15,0,17,0,951,0,65,0,24,26,2,135,38,3,0,2,0
2001,1,0,16,0,343,0,59,0,8,10,1,131,38,7,1,2,0
2002,11,0,17,0,746,0,63,0,15,0,0,66,37,12,1,3,0
2003,21,0,15,0,506,0,69,0,21,1,3,98,53,6,1,5,0
2004,25,0,12,0,968,0,86,0,11,1,1,145,58,9,1,4,0
2005,2,0,6,0,302,0,61,0,4,3,3,126,31,6,1,3,0
2006,3,0,11,1,1991,0,121,0,14,12,0,88,45,3,1,9,0
2007,9,0,9,3,326,0,62,0,6,3,0,74,42,10,1,4,0
2008,2,0,9,1,374,0,37,0,10,3,1,51,21,1,1,3,0
2009,5,0,3,1,416,0,31,10,11,0,0,48,18,3,3,12,0
2010,6,0,11,8,256,0,36,41,9,3,0,44,5,12,2,2,0
2011,13,0,7,4,199,0,36,67,11,1,0,43,4,5,3,7,0
2012,14,0,11,0,160,0,8,2,6,1,0,49,22,16,13,21,0